Date,Map,Result,VOD_Link,Score_Us,Score_Enemy,MatchID,MyComp_1,MyComp_2,MyComp_3,MyComp_4,MyComp_5,Pistol_Def_W,Pistol_Atk_W,Def_R_W,Def_R_L,Atk_R_W,Atk_R_L,Source,EnComp_1,EnComp_2,EnComp_3,EnComp_4,EnComp_5,Delta,DateObj
02.10.2024,Ascent,W,https://youtu.be/CkDVkRlKpJQ?si=TA47sZ0oefGZDqFw,13.0,6.0,,Killjoy,Omen,KAY/O,Sova,Jett,0.0,1.0,9.0,3.0,4.0,3.0,Legacy,,,,,,7.0,2024-10-02
03.10.2024,Ascent,W,https://youtu.be/2mjVP6JweqI?si=lyKkuzwKFfdOdEel,15.0,13.0,,Killjoy,Omen,KAY/O,Sova,Jett,1.0,1.0,5.0,9.0,10.0,4.0,Legacy,,,,,,2.0,2024-10-03
09.10.2024,Icebox,W,https://youtu.be/OQs2jIj44Dg?si=TyMkK3BM8z9IRUVw,13.0,11.0,,Viper,Sage,Gekko,Sova,Killjoy,1.0,1.0,6.0,6.0,7.0,5.0,Legacy,,,,,,2.0,2024-10-09
09.10.2024,Icebox,W,https://youtu.be/Alikuk7ZVhA?si=2uEbYfmWTVA2FesV,13.0,6.0,,Viper,Sage,Gekko,Sova,Killjoy,1.0,0.0,6.0,6.0,7.0,0.0,Legacy,,,,,,7.0,2024-10-09
10.10.2024,Icebox,W,https://youtu.be/51NaAXJISkY?si=dwxxmMxdTqffgVeW,13.0,4.0,,Viper,Sage,Gekko,Sova,Killjoy,1.0,0.0,10.0,2.0,3.0,2.0,Legacy,,,,,,9.0,2024-10-10
10.10.2024,Icebox,L,https://youtu.be/epT-S5V_R5Q?si=Zh20GhH5kwjb1xYI,9.0,13.0,,Viper,Sage,Gekko,Sova,Killjoy,0.0,0.0,6.0,6.0,3.0,7.0,Legacy,,,,,,-4.0,2024-10-10
16.10.2024,Bind,W,https://youtu.be/NcK3hx1ju0E?si=T_KQvLvnjZRqHAhO,13.0,10.0,,Astra,Raze,Cypher,Gekko,Iso,1.0,1.0,6.0,6.0,7.0,4.0,Legacy,,,,,,3.0,2024-10-16
17.10.2024,Bind,W,https://youtu.be/rLly5ZDpKuU?si=GEPpql2grs-6lW8f,13.0,5.0,,Astra,Raze,Cypher,Gekko,Iso,1.0,1.0,8.0,4.0,5.0,1.0,Legacy,,,,,,8.0,2024-10-17
17.10.2024,Bind,W,https://youtu.be/2bl0KHXKywE?si=IMsYhLhil8uBOXLL,13.0,3.0,,Astra,Raze,Cypher,Gekko,Iso,0.0,1.0,11.0,1.0,2.0,2.0,Legacy,,,,,,10.0,2024-10-17
15.01.2025,Split,W,https://www.youtube.com/watch?v=1XhW7f95N7A,13.0,7.0,,Cypher,Omen,Raze,Breach,Yoru,1.0,0.0,8.0,4.0,5.0,3.0,Legacy,,,,,,6.0,2025-01-15
16.01.2025,Split,W,https://www.youtube.com/watch?v=ccuOvixCDxk,13.0,4.0,,Cypher,Omen,Raze,Breach,Yoru,0.0,1.0,9.0,3.0,4.0,1.0,Legacy,,,,,,9.0,2025-01-16
16.01.2025,Split,L,-,3.0,13.0,,Cypher,Omen,Raze,Breach,Yoru,0.0,0.0,2.0,10.0,1.0,3.0,Legacy,,,,,,-10.0,2025-01-16
22.01.2025,Haven,W,https://www.youtube.com/watch?v=-0ZBJlVfQww&list=PLqdLL4Iya-MxlkI01XQU-ZWdzOaVSIQpV,13.0,11.0,,Cypher,Omen,Iso,Sova,Yoru,1.0,1.0,7.0,5.0,6.0,6.0,Legacy,,,,,,2.0,2025-01-22
23.01.2025,Haven,L,https://youtu.be/Gsv7YTWtu4M?si=8y_FhDIoDPKw7x89,9.0,13.0,,Cypher,Omen,Iso,Sova,Yoru,0.0,0.0,3.0,9.0,6.0,4.0,Legacy,,,,,,-4.0,2025-01-23
23.01.2025,Haven,W,https://youtu.be/XclFN8xAy18?si=9UZOomuzTNxlqirT,15.0,13.0,,Cypher,Omen,Iso,Sova,Yoru,1.0,0.0,5.0,9.0,10.0,4.0,Legacy,,,,,,2.0,2025-01-23
29.01.2025,Fracture,L,https://www.youtube.com/watch?v=Upq2JGWNdqc,5.0,13.0,,Sova,Brimstone,Killjoy,Breach,Raze,0.0,1.0,1.0,5.0,4.0,8.0,Legacy,,,,,,-8.0,2025-01-29
30.01.2025,Fracture,L,https://youtu.be/IvFsi2LgoMY?si=F7DPqe1yNVzPUSl3,15.0,16.0,,Sova,Brimstone,Killjoy,Breach,Raze,0.0,0.0,6.0,10.0,9.0,6.0,Legacy,,,,,,-1.0,2025-01-30
12.02.2025,Pearl,L,https://www.youtube.com/watch?v=SK2rtUvx-K4,10.0,13.0,,Astra,Viper,Killjoy,Sova,Yoru,1.0,0.0,7.0,5.0,3.0,8.0,Legacy,,,,,,-3.0,2025-02-12
13.02.2025,Pearl,L,https://www.youtube.com/watch?v=LGN7rVB1j38&list=PLqdLL4Iya-MxlkI01XQU-ZWdzOaVSIQpV&index=10,12.0,14.0,,Astra,Viper,Killjoy,Sova,Yoru,1.0,1.0,7.0,6.0,5.0,8.0,Legacy,,,,,,-2.0,2025-02-13
14.01.2025,Pearl,L,https://www.youtube.com/watch?v=W85PoK-5Qiw,7.0,13.0,,Astra,Viper,Killjoy,Sova,Yoru,0.0,0.0,1.0,7.0,6.0,6.0,Legacy,,,,,,-6.0,2025-01-14
15.02.2025,Pearl,L,https://www.youtube.com/watch?v=ntCgjqQpgu8,6.0,13.0,,Astra,Tejo,Killjoy,Sova,Yoru,1.0,1.0,2.0,5.0,4.0,8.0,Legacy,,,,,,-7.0,2025-02-15
14.02.2025,Bind,W,https://www.youtube.com/watch?v=23H-dDVbl-k,13.0,6.0,,Fade,Brimstone,Vyse,Gekko,Jett,0.0,1.0,4.0,3.0,9.0,3.0,Legacy,,,,,,7.0,2025-02-14
14.02.2025,Bind,W,https://www.youtube.com/watch?v=7dFCxH4l2Yo,15.0,13.0,,Tejo,Brimstone,Deadlock,Gekko,Jett,1.0,0.0,10.0,4.0,5.0,9.0,Legacy,,,,,,2.0,2025-02-14
