,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Player,Map,Agent,ACS,Kills,Deaths,Assists,FK,FD,ADR,HS%,KD,KDA,,Luggi,,,,,,Sofi,,,,
22/6/2025,Andrei,Lotus,Omen,234,19,11,10,4,3,148,35,"1,73","2,64",,,,,,,,,,,,
11/6/2025,Andrei,Ascent,Jett,176,9,16,3,1,3,124,16,"0,56","0,75",,,,,,,,,,,,
11/6/2025,Sofi,Ascent,Omen,59,3,17,3,0,6,43,31,"0,18","0,35",,,,,,,,,,,,
11/6/2025,Luggi,Ascent,Sova,212,13,15,4,1,2,136,33,"0,87","1,13",,,,,,,,,,,,
11/6/2025,Luca,Ascent,Kayo,169,10,15,2,1,1,116,27,"0,67","0,80",,,,,,,,,,,,
11/6/2025,Remus,Ascent,Killjoy,171,10,14,1,1,2,120,22,"0,71","0,79",,,,,,,,,,,,
7/7/2025,Luggi,Bind,Gekko,220,20,17,6,2,,,,"1,18","1,53",,,,,,,,,,,,
7/7/2025,Luca,Bind,Raze,210,19,20,3,3,,,,"0,95","1,10",,,,,,,,,,,,
7/7/2025,Remus,Bind,Viper,172,15,15,7,0,,,,"1,00","1,47",,,,,,,,,,,,
7/7/2025,Andrei,Bind,Astra,284,25,11,11,4,,,,"2,27","3,27",,,,,,,,,,,,
7/7/2025,Benni,Bind,Yoru,249,21,17,6,4,,,,"1,24","1,59",,,,,,,,,,,,
